n_subjects,seed,base_edges,kanon_pct,kanon_time,deanon_pct,deanon_time
50,0,3471,171.99654278305962,0.010956100000157676,0.0,0.0020032999998420564
50,1,3267,175.45148454239364,0.008223599999837461,0.0,0.0018000000000029104
50,2,2848,179.42415730337078,0.006497099999933198,0.0,0.0008831000000100175
50,3,3784,165.72410147991545,0.010622200000170778,0.0,0.001983699999982491
50,4,2768,180.5635838150289,0.008155299999998533,0.0,0.0007746999999653781
50,5,3074,170.91737150292778,0.008892900000091686,0.0,0.0016436000000794593
50,6,3177,176.92791942083727,0.010065100000019811,0.0,0.001787599999943268
50,7,2902,178.94555478980013,0.009027300000070682,0.0,0.0016845000000103028
50,8,2661,179.70687711386697,0.006286800000225412,0.0,0.0016185000001769367
50,9,3040,178.84868421052633,0.010448099999848637,0.0,0.0017361000000164495
100,0,5730,169.10994764397907,0.030780299999833005,0.0,0.0038554000000203814
100,1,6989,160.6524538560595,0.037180499999976746,0.0,0.004384199999776683
100,2,6762,164.01952085181898,0.017809200000101555,0.0,0.0019801999999344844
100,3,6143,164.69151880188832,0.02405500000008942,0.0,0.0016766000001098291
100,4,6246,167.72334293948126,0.02924969999980931,0.0,0.0031504000000950327
100,5,5326,167.87457754412316,0.0249005999999099,0.0,0.003995700000132274
100,6,6073,165.025522805862,0.03216090000000804,0.0,0.0034243999998579966
100,7,6668,160.25794841031794,0.039636100000052465,0.0,0.003123499999901469
100,8,6745,164.29948109710898,0.02570430000014312,0.0,0.003118600000107108
100,9,6006,169.04761904761904,0.02403839999988122,0.0,0.0019909000000097876
200,0,12479,165.11739722734194,0.0782968000000892,0.0,0.0050710000000435684
200,1,13069,163.1647409901293,0.11520160000009128,0.0,0.010160699999914868
200,2,12009,166.26696644183528,0.07717490000004545,0.0,0.005083000000013271
200,3,12480,166.12980769230768,0.10352140000009058,0.0,0.010127900000043155
200,4,12294,163.81161542215716,0.07848889999991115,0.0,0.00517800000011448
200,5,13096,164.89004276114844,0.06852870000011535,0.0,0.005264300000135336
200,6,12446,168.55214526755583,0.1171326000001045,0.0,0.009922000000187836
200,7,12330,167.73722627737226,0.1013909999999214,0.008110300081103,0.0062563999999838416
200,8,12473,164.99639220716747,0.08147299999995994,0.0,0.008586700000023484
200,9,13353,163.45390548940313,0.10108530000002247,0.0,0.005779500000016924
400,0,26412,162.71391791609875,0.4110401999998885,0.0,0.03070479999996678
400,1,24785,164.664111357676,0.3744782999999643,0.0,0.02139420000003156
400,2,24961,165.74656464083972,0.44167079999988346,0.0,0.029012999999849853
400,3,25334,164.24173048077682,0.43332180000015796,0.0,0.022067699999979595
400,4,24128,164.78365384615384,0.34279080000010254,0.004144562334217507,0.03549450000014076
400,5,24807,164.46164389083725,0.3614436000000296,0.0,0.02960320000011052
400,6,25610,162.70597422881687,0.404818700000078,0.0,0.031753499999922496
400,7,25380,162.96690307328606,0.4367479000000003,0.0,0.03546429999983047
400,8,25114,164.35056143983437,0.3927114000000529,0.0,0.03428149999990637
400,9,25882,163.48041109651496,0.4355400000001737,0.0038636890503052313,0.04170169999997597
800,0,49826,163.0534259222093,1.8880546000000322,0.010034921526913659,0.18627270000001772
800,1,49048,164.0760071766433,1.9134690000000774,0.0,0.08649509999986549
800,2,48695,162.23636923708798,2.0121782999999596,0.0,0.0959599000000253
800,3,49584,163.7685543723782,1.8269098999999187,0.004033559212649242,0.18371739999997772
800,4,50624,162.66197850821746,2.0032129999999597,0.005926042983565107,0.17679119999979775
800,5,48246,164.38875761721178,2.0291025000001355,0.008290842764166978,0.18734700000004523
800,6,52195,163.78963502251173,1.9001012999999602,0.007663569307404924,0.21467540000003282
800,7,50271,163.0641920789322,1.97754359999999,0.011935310616458793,0.35296889999995074
800,8,48844,164.77151748423552,1.861234100000047,0.0020473343706494144,0.16376400000012836
800,9,49254,164.1003776343038,2.2017066999999315,0.0,0.0878526999999849
1600,0,97502,162.87460770035486,8.653556299999991,0.007179339910976185,1.2267638000000716
1600,1,101794,163.70120046368154,9.147218100000146,0.006876633200385091,0.9673553000000084
1600,2,98835,162.45257246926695,9.160378100000116,0.010117873223048515,1.3395413000000644
1600,3,100466,164.23765253916747,9.306254200000012,0.00497680807437342,1.3873461999999108
1600,4,100723,163.45422594640746,9.03575439999986,0.0019856437953595504,0.6017745999999988
1600,5,101433,162.79218794672346,9.162631000000147,0.006901107134758905,1.7235613000000285
1600,6,99333,164.18410800036241,8.989630600000055,0.008053718301068125,1.446941299999935
1600,7,96620,165.37569861312357,8.211134599999923,0.00517491202649555,1.0063155999998799
1600,8,102457,161.1593156153313,8.795442500000036,0.00878417287252213,2.061836699999958
1600,9,101590,162.8427994881386,8.710686599999917,0.0068904419726351016,0.9281785000000582
