role_frac,seed,jaccard,base_edges,kanon_pct,kanon_overlap_pct,kdegree_pct,deanon_pct
0.9,10,0.11794861585771657,2772,164.35786435786434,81.92640692640693,3.282828282828283,0.03607503607503607
0.9,11,0.11340349120204317,2625,170.74285714285713,95.12380952380953,3.0095238095238095,0.0
0.9,12,0.12222237559714623,2774,163.19394376351838,74.62148521989906,3.568853640951694,0.0
0.9,13,0.11991116177946247,2521,162.9115430384768,74.25624752082507,4.165013883379611,0.1190003966679889
0.9,14,0.10393988384549875,2307,168.96402254009536,99.86996098829648,3.8144776766363244,0.13003901170351106
0.9,15,0.10012043327030926,2016,174.25595238095238,101.19047619047619,5.60515873015873,0.0496031746031746
0.9,16,0.10316334269271643,2439,163.71463714637147,94.4649446494465,4.469044690446904,0.0
0.9,17,0.10254996876064265,2547,168.00157047506872,73.02709069493521,3.5335689045936394,0.0
0.9,18,0.12217279191737133,2685,162.27188081936686,83.57541899441341,3.277467411545624,0.037243947858473
0.9,19,0.10266839907675168,2148,166.85288640595903,80.49348230912477,4.748603351955308,0.04655493482309125
0.9,20,0.11466412190808788,2513,170.55312375646636,76.72105053720652,4.098686828491842,0.0
0.9,21,0.11972265898638998,2470,166.72064777327935,83.31983805668017,3.8461538461538463,0.04048582995951417
0.9,22,0.11946785429752348,2843,163.45409778403095,69.43369679915583,3.1304959549771367,0.0
0.9,23,0.1260126920820019,2411,165.0352550808793,73.78681045209457,4.479469099958523,0.0829531314807134
0.9,24,0.10546222924679559,2146,166.02982292637466,92.21808014911463,4.426840633737186,0.046598322460391424
0.9,25,0.11302919575402777,2494,167.20128307939055,85.9663191659984,3.5284683239775463,0.0
0.9,26,0.10503815790146687,2341,169.841947885519,71.0807347287484,3.6736437419906025,0.0
0.9,27,0.113273543273872,2615,166.3097514340344,73.23135755258126,3.135755258126195,0.0
0.9,28,0.12105873706487215,2615,162.2944550669216,89.36902485659655,4.2065009560229445,0.1147227533460803
0.9,29,0.11871599392143313,2838,165.3981677237491,83.05144467935166,3.06553911205074,0.0
1.0,0,0.11978827429217198,2522,153.84615384615384,62.17287866772403,4.08406026962728,1.3481363996827915
1.0,1,0.11145911116686147,2084,175.09596928982725,79.60652591170826,3.1190019193857967,1.583493282149712
1.0,2,0.11763005485182691,2622,170.74752097635394,66.20900076277651,3.7757437070938216,1.3348588863463005
1.0,3,0.11051488625339143,2428,171.499176276771,79.48929159802306,3.9950576606260295,1.3179571663920921
1.0,4,0.13175816550671648,2754,160.9295570079884,54.21205519244735,3.0501089324618738,1.2345679012345678
1.0,5,0.10966712795024154,2279,172.40017551557702,79.28916191311978,4.124616059675296,1.5796401930671347
1.0,6,0.12007843382135351,2560,167.4609375,66.5234375,3.6328125,1.3671875
1.0,7,0.11616169477698354,2585,170.98646034816247,79.72920696324951,4.139264990328821,1.3152804642166345
1.0,8,0.11345278775134084,2363,155.4803216250529,95.09098603470164,4.147270418958951,1.396529834955565
1.0,9,0.12128057619454831,2666,164.70367591897974,70.14253563390848,4.051012753188297,1.275318829707427
1.0,10,0.12226903027387659,2189,163.27089995431703,82.68615806304248,4.88807674737323,1.5532206486980356
1.0,11,0.11718081311080485,2618,172.76546982429335,78.26585179526356,2.9411764705882355,1.2605042016806722
1.0,12,0.11576213741657065,2487,166.74708484117411,74.58785685564938,3.417772416566144,1.527945315641335
1.0,13,0.11942813250026493,2619,167.6975945017182,55.784650630011456,3.8946162657502863,1.298205421916762
1.0,14,0.12489313439051676,2696,166.5059347181009,78.52373887240356,3.635014836795252,1.2240356083086052
1.0,15,0.115837119096594,2594,166.6538164996145,69.12104857363146,3.8164996144949885,1.2721665381649963
1.0,16,0.09936888209118863,2297,173.31301697866783,72.74706138441445,3.656943839791032,1.567261645624728
1.0,17,0.12497307933655893,2448,166.33986928104576,64.33823529411765,3.8398692810457518,1.4705882352941178
1.0,18,0.10454938121828748,2193,171.22663018695852,80.02735978112175,3.2375740994072046,1.6415868673050615
